ID,SHOPCODEAPPROVERSID,SHOPCODEPRIMARYAPPROVER,SHOPCODESECONDARYAPPROVER,SHOPCODETHIRDAPPROVER,MPNID,COUNTRYID,ADDDATE,ADDBY,MODDATE,MODBY,PRIMARYAPPROVERLEAVE,PRIMARYAPPROVERLEAVEFROM,PRIMARYAPPROVERLEAVETO,KITAPPROVER,CAT
5500,5932,4023972,314835420,,6477,,04-DEC-12 10:01:04,1002771,18/02/16 17:44,4023972,1,19/02/16 00:00,04/03/16 00:00,,B
5501,5933,4023972,314835420,,5932,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5502,5935,4023972,314835420,,5885,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5503,5936,4023972,314835420,,6374,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5504,5938,4023972,314835420,,6188,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5505,5940,4023972,314835420,,6075,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5506,5941,314835420,314835420,,6086,,24-MAY-16 11:58:34,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5507,5943,314835420,314835420,,6399,,24-MAY-16 11:58:33,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5508,5945,4023972,314835420,,6337,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5509,5946,4023972,314835420,,6226,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5510,5948,4023972,314835420,,5921,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5511,5950,4023972,314835420,,6318,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5512,5951,314835420,314835420,,6254,,24-MAY-16 11:58:33,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5513,5953,4023972,314835420,,5907,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5514,5955,4023972,314835420,,6324,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5515,5956,4023972,314835420,,6174,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
5516,5958,4023972,314835420,,6070,,04-DEC-12 10:01:04,1002771,18-FEB-16 17:44:19,4023972,1,19-FEB-16 00:00:00,04-MAR-16 00:00:00,,B
